"altersgruppe";"freq";"date"
"15-24";309;2020-03-22 05:30:00
"25-34";515;2020-03-22 05:30:00
"35-44";482;2020-03-22 05:30:00
"45-54";690;2020-03-22 05:30:00
"55-64";475;2020-03-22 05:30:00
">64";512;2020-03-22 05:30:00
"<5";6;2020-03-22 05:45:00
"5-14";35;2020-03-22 05:45:00
"15-24";309;2020-03-22 05:45:00
"25-34";515;2020-03-22 05:45:00
"35-44";482;2020-03-22 05:45:00
"45-54";690;2020-03-22 05:45:00
"55-64";475;2020-03-22 05:45:00
">64";512;2020-03-22 05:45:00
"<5";6;2020-03-22 06:00:00
"5-14";35;2020-03-22 06:00:00
"15-24";309;2020-03-22 06:00:00
"25-34";515;2020-03-22 06:00:00
"35-44";482;2020-03-22 06:00:00
"45-54";690;2020-03-22 06:00:00
"55-64";475;2020-03-22 06:00:00
">64";512;2020-03-22 06:00:00
"<5";6;2020-03-22 06:15:00
"5-14";35;2020-03-22 06:15:00
"15-24";309;2020-03-22 06:15:00
"25-34";515;2020-03-22 06:15:00
"35-44";482;2020-03-22 06:15:00
"45-54";690;2020-03-22 06:15:00
"55-64";475;2020-03-22 06:15:00
">64";512;2020-03-22 06:15:00
"<5";6;2020-03-22 06:30:00
"5-14";35;2020-03-22 06:30:00
"15-24";309;2020-03-22 06:30:00
"25-34";515;2020-03-22 06:30:00
"35-44";482;2020-03-22 06:30:00
"45-54";690;2020-03-22 06:30:00
"55-64";475;2020-03-22 06:30:00
">64";512;2020-03-22 06:30:00
"<5";6;2020-03-22 06:45:00
"5-14";35;2020-03-22 06:45:00
"15-24";309;2020-03-22 06:45:00
"25-34";515;2020-03-22 06:45:00
"35-44";482;2020-03-22 06:45:00
"45-54";690;2020-03-22 06:45:00
"55-64";475;2020-03-22 06:45:00
">64";512;2020-03-22 06:45:00
"<5";6;2020-03-22 07:00:00
"5-14";35;2020-03-22 07:00:00
"15-24";309;2020-03-22 07:00:00
"25-34";515;2020-03-22 07:00:00
"35-44";482;2020-03-22 07:00:00
"45-54";690;2020-03-22 07:00:00
"55-64";475;2020-03-22 07:00:00
">64";512;2020-03-22 07:00:00
"<5";6;2020-03-22 07:15:00
"5-14";35;2020-03-22 07:15:00
"15-24";309;2020-03-22 07:15:00
"25-34";515;2020-03-22 07:15:00
"35-44";482;2020-03-22 07:15:00
"45-54";690;2020-03-22 07:15:00
"55-64";475;2020-03-22 07:15:00
">64";512;2020-03-22 07:15:00
"<5";6;2020-03-22 07:30:00
"5-14";35;2020-03-22 07:30:00
"15-24";309;2020-03-22 07:30:00
"25-34";516;2020-03-22 07:30:00
"35-44";483;2020-03-22 07:30:00
"45-54";690;2020-03-22 07:30:00
"55-64";475;2020-03-22 07:30:00
">64";512;2020-03-22 07:30:00
