"bundesland";"freq";"date"
"NÖ";433;2020-03-22 11:00:00
"OÖ";606;2020-03-22 11:00:00
"Sbg";246;2020-03-22 11:00:00
"Stmk";418;2020-03-22 11:00:00
"T";626;2020-03-22 11:00:00
"Vbg";250;2020-03-22 11:00:00
"W";388;2020-03-22 11:00:00
"Bgld";55;2020-03-22 11:15:00
"Ktn";101;2020-03-22 11:15:00
"NÖ";433;2020-03-22 11:15:00
"OÖ";605;2020-03-22 11:15:00
"Sbg";247;2020-03-22 11:15:00
"Stmk";418;2020-03-22 11:15:00
"T";626;2020-03-22 11:15:00
"Vbg";250;2020-03-22 11:15:00
"W";388;2020-03-22 11:15:00
"Bgld";55;2020-03-22 11:30:00
"Ktn";101;2020-03-22 11:30:00
"NÖ";433;2020-03-22 11:30:00
"OÖ";605;2020-03-22 11:30:00
"Sbg";247;2020-03-22 11:30:00
"Stmk";418;2020-03-22 11:30:00
"T";627;2020-03-22 11:30:00
"Vbg";250;2020-03-22 11:30:00
"W";389;2020-03-22 11:30:00
"Bgld";55;2020-03-22 11:45:00
"Ktn";102;2020-03-22 11:45:00
"NÖ";433;2020-03-22 11:45:00
"OÖ";605;2020-03-22 11:45:00
"Sbg";247;2020-03-22 11:45:00
"Stmk";418;2020-03-22 11:45:00
"T";632;2020-03-22 11:45:00
"Vbg";262;2020-03-22 11:45:00
"W";389;2020-03-22 11:45:00
"Bgld";55;2020-03-22 12:00:00
"Ktn";105;2020-03-22 12:00:00
"NÖ";433;2020-03-22 12:00:00
"OÖ";606;2020-03-22 12:00:00
"Sbg";247;2020-03-22 12:00:00
"Stmk";418;2020-03-22 12:00:00
"T";636;2020-03-22 12:00:00
"Vbg";262;2020-03-22 12:00:00
"W";389;2020-03-22 12:00:00
"Bgld";55;2020-03-22 12:15:00
"Ktn";105;2020-03-22 12:15:00
"NÖ";434;2020-03-22 12:15:00
"OÖ";609;2020-03-22 12:15:00
"Sbg";247;2020-03-22 12:15:00
"Stmk";420;2020-03-22 12:15:00
"T";643;2020-03-22 12:15:00
"Vbg";262;2020-03-22 12:15:00
"W";389;2020-03-22 12:15:00
"Bgld";55;2020-03-22 12:30:00
"Ktn";105;2020-03-22 12:30:00
"NÖ";434;2020-03-22 12:30:00
"OÖ";612;2020-03-22 12:30:00
"Sbg";247;2020-03-22 12:30:00
"Stmk";423;2020-03-22 12:30:00
"T";643;2020-03-22 12:30:00
"Vbg";262;2020-03-22 12:30:00
"W";389;2020-03-22 12:30:00
"Bgld";55;2020-03-22 12:45:00
"Ktn";105;2020-03-22 12:45:00
"NÖ";434;2020-03-22 12:45:00
"OÖ";612;2020-03-22 12:45:00
"Sbg";247;2020-03-22 12:45:00
"Stmk";424;2020-03-22 12:45:00
"T";643;2020-03-22 12:45:00
"Vbg";262;2020-03-22 12:45:00
"W";391;2020-03-22 12:45:00
"Bgld";55;2020-03-22 13:00:00
"Ktn";105;2020-03-22 13:00:00
"NÖ";434;2020-03-22 13:00:00
"OÖ";612;2020-03-22 13:00:00
