"nuts2","freq","date"
4,641,2020-03-22 17:45:00
5,308,2020-03-22 17:45:00
6,446,2020-03-22 17:45:00
7,659,2020-03-22 17:45:00
8,280,2020-03-22 17:45:00
9,429,2020-03-22 17:45:00
1,64,2020-03-22 18:00:00
2,110,2020-03-22 18:00:00
3,470,2020-03-22 18:00:00
4,643,2020-03-22 18:00:00
5,308,2020-03-22 18:00:00
6,446,2020-03-22 18:00:00
7,665,2020-03-22 18:00:00
8,280,2020-03-22 18:00:00
9,429,2020-03-22 18:00:00
1,64,2020-03-22 18:15:00
2,110,2020-03-22 18:15:00
3,470,2020-03-22 18:15:00
4,651,2020-03-22 18:15:00
5,320,2020-03-22 18:15:00
6,446,2020-03-22 18:15:00
7,665,2020-03-22 18:15:00
8,280,2020-03-22 18:15:00
9,429,2020-03-22 18:15:00
1,64,2020-03-22 18:30:00
