"erkrankungen";"hospitalisiert";"intensivstation";"nr_tests";"date"
7441;672;128;NA;2020-03-27 15:00:00
7500;672;128;NA;2020-03-27 16:00:00
7557;672;128;NA;2020-03-27 17:00:00
7610;672;128;NA;2020-03-27 18:00:00
7642;672;128;NA;2020-03-27 19:00:00
7657;672;128;NA;2020-03-27 20:00:00
7672;672;128;NA;2020-03-27 21:00:00
7672;672;128;NA;2020-03-27 22:00:00
7688;672;128;NA;2020-03-27 23:00:00
7697;672;128;NA;2020-03-28 00:00:00
7697;672;128;NA;2020-03-28 01:00:00
7697;672;128;NA;2020-03-28 02:00:00
7697;672;128;NA;2020-03-28 03:00:00
7697;672;128;NA;2020-03-28 04:00:00
7697;672;128;NA;2020-03-28 05:00:00
7697;672;128;NA;2020-03-28 06:00:00
7697;672;128;NA;2020-03-28 07:00:00
7697;672;128;NA;2020-03-28 08:00:00
7712;744;135;42750;2020-03-28 09:00:00
7750;744;135;42750;2020-03-28 10:00:00
7823;744;135;42750;2020-03-28 11:00:00
7898;744;135;42750;2020-03-28 12:00:00
7964;744;135;42750;2020-03-28 13:00:00
7995;744;135;42750;2020-03-28 14:00:00
8030;744;135;42750;2020-03-28 15:00:00
8068;744;135;42750;2020-03-28 16:00:00
8105;744;135;42750;2020-03-28 17:00:00
8122;744;135;42750;2020-03-28 18:00:00
8188;744;135;42750;2020-03-28 19:00:00
8233;744;135;42750;2020-03-28 20:00:00
8258;744;135;42750;2020-03-28 21:00:00
8259;744;135;42750;2020-03-28 22:00:00
8271;744;135;42750;2020-03-28 23:00:00
8280;744;135;42750;2020-03-29 00:00:00
8280;744;135;42750;2020-03-29 01:00:00
8280;744;135;42750;2020-03-29 01:01:47
8280;744;135;42750;2020-03-29 03:00:00
8280;744;135;42750;2020-03-29 04:00:00
8280;744;135;42750;2020-03-29 05:00:00
8280;744;135;42750;2020-03-29 06:00:00
8280;744;135;42750;2020-03-29 07:00:00
8291;744;135;42750;2020-03-29 08:00:00
8305;744;135;42750;2020-03-29 09:00:00
8346;744;135;42750;2020-03-29 10:00:00
8395;744;135;42750;2020-03-29 11:00:00
8411;931;187;46441;2020-03-29 12:00:00
8450;931;187;46441;2020-03-29 13:00:00
8486;931;187;46441;2020-03-29 14:00:00
8536;931;187;46441;2020-03-29 15:00:00
8581;931;187;46441;2020-03-29 16:00:00
8648;931;187;46441;2020-03-29 17:00:00
8672;931;187;46441;2020-03-29 18:00:00
8711;931;187;46441;2020-03-29 19:00:00
8733;931;187;46441;2020-03-29 20:00:00
8743;931;187;46441;2020-03-29 21:00:00
8760;931;187;46441;2020-03-29 22:00:00
8774;931;187;46441;2020-03-29 23:00:00
8788;931;187;46441;2020-03-30 00:00:00
8788;931;187;46441;2020-03-30 01:00:00
8788;931;187;46441;2020-03-30 02:00:00
8788;931;187;46441;2020-03-30 03:00:00
8788;931;187;46441;2020-03-30 04:00:00
8788;931;187;46441;2020-03-30 05:00:00
8788;931;187;46441;2020-03-30 06:00:00
8788;931;187;46441;2020-03-30 07:00:00
8813;931;187;46441;2020-03-30 08:00:00
8867;931;187;46441;2020-03-30 09:00:00
8958;931;187;46441;2020-03-30 10:00:00
9103;999;193;49455;2020-03-30 12:00:00
9200;999;193;49455;2020-03-30 13:00:00
9299;999;193;49455;2020-03-30 14:00:00
9377;999;193;49455;2020-03-30 15:00:00
9424;999;193;49455;2020-03-30 16:00:00
9454;999;193;49455;2020-03-30 17:00:00
9520;999;193;49455;2020-03-30 18:00:00
9541;999;193;49455;2020-03-30 19:00:00
9597;999;193;49455;2020-03-30 20:00:00
